TRADEDATE;OPEN;HIGH;LOW;CLOSE
23.01.2017;1523.99;1523.99;1523.99;1523.99
24.01.2017;1547.71;1547.71;1547.71;1547.71
25.01.2017;1553.62;1553.62;1553.62;1553.62
26.01.2017;1558.87;1558.87;1558.87;1558.87
27.01.2017;1601.73;1601.73;1601.73;1601.73
30.01.2017;1574.97;1574.97;1574.97;1574.97
31.01.2017;1559.58;1559.58;1559.58;1559.58
01.02.2017;1564.11;1564.11;1564.11;1564.11
02.02.2017;1569.32;1569.32;1569.32;1569.32
03.02.2017;1594.75;1594.75;1594.75;1594.75
06.02.2017;1578.83;1578.83;1578.83;1578.83
07.02.2017;1579.76;1579.76;1579.76;1579.76
08.02.2017;1560.25;1560.25;1560.25;1560.25
09.02.2017;1558.29;1558.29;1558.29;1558.29
10.02.2017;1559.66;1559.66;1559.66;1559.66
13.02.2017;1571.66;1571.66;1571.66;1571.66
14.02.2017;1572.74;1572.74;1572.74;1572.74
15.02.2017;1570.89;1570.89;1570.89;1570.89
16.02.2017;1575.6;1575.6;1575.6;1575.6
17.02.2017;1543.58;1543.58;1543.58;1543.58
20.02.2017;1541.15;1541.15;1541.15;1541.15
21.02.2017;1556.23;1556.23;1556.23;1556.23
22.02.2017;1535.28;1535.28;1535.28;1535.28
24.02.2017;1512.61;1512.61;1512.61;1512.61
27.02.2017;1496.8;1496.8;1496.8;1496.8
28.02.2017;1472.92;1472.92;1472.92;1472.92
01.03.2017;1486.22;1486.22;1486.22;1486.22
02.03.2017;1473.4;1473.4;1473.4;1473.4
03.03.2017;1484.71;1484.71;1484.71;1484.71
06.03.2017;1487.65;1487.65;1487.65;1487.65
07.03.2017;1470.21;1470.21;1470.21;1470.21
09.03.2017;1402.5;1402.5;1402.5;1402.5
10.03.2017;1414.6;1414.6;1414.6;1414.6
13.03.2017;1432.3;1432.3;1432.3;1432.3
14.03.2017;1425;1425;1425;1425
15.03.2017;1423.55;1423.55;1423.55;1423.55
16.03.2017;1468.67;1468.67;1468.67;1468.67
17.03.2017;1489.57;1489.57;1489.57;1489.57
20.03.2017;1502.31;1502.31;1502.31;1502.31
21.03.2017;1502.62;1502.62;1502.62;1502.62
22.03.2017;1504.68;1504.68;1504.68;1504.68
23.03.2017;1506.26;1506.26;1506.26;1506.26
24.03.2017;1506.68;1506.68;1506.68;1506.68
27.03.2017;1493.28;1493.28;1493.28;1493.28
28.03.2017;1507.91;1507.91;1507.91;1507.91
29.03.2017;1507.01;1507.01;1507.01;1507.01
30.03.2017;1523.56;1523.56;1523.56;1523.56
31.03.2017;1492.07;1492.07;1492.07;1492.07
