<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20160419,000000,376.6500000,378.1400000,376.6500000,377.9400000,0
20160420,000000,377.9500000,378.6000000,377.4600000,378.6000000,0
20160421,000000,378.8000000,379.2600000,378.6900000,378.6900000,0
20160422,000000,378.8000000,378.9200000,378.2000000,378.2000000,0
20160425,000000,378.4300000,378.7100000,377.8800000,377.9300000,0
20160426,000000,378.1200000,378.2000000,377.8600000,377.9900000,0
20160427,000000,378.0500000,378.4700000,378.0300000,378.4700000,0
20160428,000000,378.5600000,379.6300000,378.5600000,379.6200000,0
20160429,000000,379.8000000,381.4600000,379.8000000,381.4600000,0
20160504,000000,381.4200000,381.4800000,381.0400000,381.2300000,0
20160505,000000,381.4300000,381.5600000,381.2100000,381.5400000,0
20160506,000000,381.5400000,381.9500000,381.4300000,381.6500000,0
20160510,000000,381.9400000,381.9500000,381.4400000,381.7200000,0
20160511,000000,381.8100000,383.0800000,381.8100000,383.0100000,0
20160512,000000,382.9600000,384.1600000,382.9600000,383.9100000,0
20160513,000000,383.8900000,384.0700000,383.7300000,384.0700000,0
20160516,000000,384.4800000,384.9700000,384.3600000,384.8200000,0
20160517,000000,384.8600000,385.1100000,384.5100000,384.5500000,0
20160518,000000,384.6200000,384.7200000,383.8700000,384.1000000,0
20160519,000000,384.1800000,384.2300000,381.1600000,381.7300000,0
20160520,000000,381.8800000,383.8000000,381.8800000,383.6100000,0
20160523,000000,383.8100000,383.8100000,383.2200000,383.5900000,0
20160524,000000,383.7100000,383.8400000,383.6700000,383.7100000,0
20160525,000000,383.8100000,384.5600000,383.7800000,384.5100000,0
20160526,000000,384.5900000,384.7200000,384.1800000,384.2000000,0
20160527,000000,384.2600000,384.3100000,383.9300000,383.9700000,0
20160530,000000,384.2800000,384.6800000,384.0900000,384.2500000,0
20160531,000000,384.3100000,384.4100000,384.0600000,384.4100000,0
20160601,000000,384.5700000,384.5700000,383.7600000,383.8100000,0
20160602,000000,383.7700000,383.8600000,383.0300000,383.0300000,0
20160603,000000,383.0800000,383.7300000,383.0500000,383.6400000,0
20160606,000000,383.9100000,386.1300000,383.9100000,386.1200000,0
20160607,000000,386.2200000,387.1500000,386.1100000,387.0500000,0
20160608,000000,387.0600000,387.6000000,386.6900000,387.5400000,0
20160609,000000,386.5900000,386.6200000,386.5600000,386.5900000,7259316343
20160610,000000,386.5700000,388.4500000,386.5000000,388.3200000,0
20160614,000000,388.6300000,388.7100000,386.8600000,387.1800000,7028850851
20160615,000000,387.1700000,387.5300000,386.6400000,387.5300000,10985484752
20160616,000000,387.5400000,387.5400000,386.8500000,387.3100000,4710541299
20160617,000000,387.4100000,387.9000000,387.1200000,387.8800000,2955650004
20160620,000000,388.0800000,389.2600000,388.0400000,389.2600000,8213386491
20160621,000000,389.3600000,389.6900000,388.8900000,389.6900000,5516821905
20160622,000000,389.7300000,390.0500000,389.6700000,390.0300000,5205797793
20160623,000000,389.8800000,390.4300000,389.2100000,390.4300000,3050786140
20160624,000000,389.7200000,389.7200000,387.2400000,388.5100000,16114093461
20160627,000000,388.9600000,390.7200000,388.9600000,390.7100000,7793707056
20160628,000000,390.6500000,391.5100000,390.6500000,391.5100000,11390054591
20160629,000000,391.5800000,392.2900000,391.5800000,392.2900000,14684430277
20160630,000000,392.3700000,393.1800000,392.0900000,393.1800000,12498195561
20160701,000000,393.1900000,395.0700000,393.0800000,394.7800000,12986055969
20160704,000000,394.7600000,394.8300000,394.0600000,394.0600000,5601246056
20160705,000000,394.1400000,394.1400000,393.1100000,393.1400000,14598907168
20160706,000000,393.1600000,393.1600000,392.1900000,392.2700000,11865161998
20160707,000000,392.3700000,393.3800000,392.3700000,393.3100000,8455676419
20160708,000000,393.3700000,393.3700000,391.9400000,392.4300000,12283000339
20160711,000000,392.8200000,392.9600000,392.5100000,392.9600000,4088908240
20160712,000000,393.0800000,394.0800000,393.0200000,393.8200000,14484015650
20160713,000000,393.7000000,393.8200000,393.0300000,393.3400000,7390842238
20160714,000000,393.5100000,394.0000000,393.3500000,394.0000000,15035222088
20160715,000000,394.1400000,394.2800000,393.7600000,393.9100000,9088865803
20160718,000000,394.1500000,394.1500000,393.3500000,393.4000000,4500371680
20160719,000000,393.4800000,393.6500000,393.3000000,393.4300000,3542312709
20160720,000000,393.5200000,393.5700000,392.8800000,393.3800000,5850552490
20160721,000000,393.4000000,393.5800000,393.1200000,393.2300000,4365548698
20160722,000000,393.3100000,393.5400000,392.7200000,392.7300000,13104186153
20160725,000000,392.9900000,393.3300000,392.2700000,393.1900000,7947685399
20160726,000000,393.3700000,393.4200000,392.5600000,392.7000000,9186010137
20160727,000000,392.7800000,393.3100000,392.6100000,393.2100000,10790325603
20160728,000000,393.2900000,393.8100000,393.2500000,393.8000000,17815563884
20160729,000000,393.8800000,394.6800000,393.7800000,394.6800000,11549091983
20160801,000000,394.8800000,395.4700000,394.8200000,395.4000000,5496548348
20160802,000000,395.2900000,395.2900000,394.7700000,395.0200000,15166317859
20160803,000000,395.0500000,395.0500000,394.5200000,394.5500000,8375497374
20160804,000000,394.6300000,395.0700000,394.5300000,395.0500000,11359033585
20160805,000000,395.1600000,396.5900000,395.1600000,396.5600000,11291995365
20160808,000000,397.0300000,397.2400000,396.5300000,396.9600000,8513444201
20160809,000000,396.9600000,397.6300000,396.9600000,397.5600000,10393169348
20160810,000000,397.7300000,398.3100000,397.2600000,398.2900000,8879692461
20160811,000000,398.3900000,398.4100000,397.8300000,398.1300000,10113702669
20160812,000000,398.1900000,398.8600000,397.9400000,397.9600000,12649002472
20160815,000000,398.2400000,398.4100000,397.9700000,398.1800000,11297830885
20160816,000000,398.2900000,398.5600000,397.9600000,398.3700000,10660900705
20160817,000000,398.3500000,398.3700000,397.7900000,397.9500000,5933368773
20160818,000000,397.9700000,398.4600000,397.9700000,398.4600000,8479957105
20160819,000000,398.5700000,399.7700000,398.3800000,399.3500000,3572163489
20160822,000000,399.6100000,399.6900000,398.5000000,398.5800000,2441971449
20160823,000000,398.7100000,399.0800000,398.4600000,399.0600000,4048062635
20160824,000000,399.0900000,399.2100000,398.9300000,398.9800000,5055725285
20160825,000000,399.0200000,399.5300000,398.7000000,399.5300000,4539872852
20160826,000000,399.5200000,400.0400000,399.3400000,399.9700000,3587864751
20160829,000000,400.1600000,400.2900000,399.5700000,400.2600000,1629807959
20160830,000000,400.3200000,400.6900000,399.9800000,400.6900000,1340853592
20160831,000000,400.8500000,401.4400000,400.7100000,401.3900000,15410064506
20160901,000000,401.2400000,402.1100000,401.2400000,401.9700000,10182495674
