Date;Price;Open;Max;Min;Up/down
03.07.2006;9160.75;9055.93;9184.01;9055.93;0.65%
04.07.2006;9303.42;9141.1;9303.42;9117.17;1.56%
05.07.2006;9060.92;9290.81;9290.81;9060.92;-2.61%
06.07.2006;9275.22;9073.15;9275.22;9073.15;2.37%
07.07.2006;9377.8;9304.51;9422.52;9280.55;1.11%
10.07.2006;9402.74;9357.89;9403.1;9307.67;0.27%
11.07.2006;9371.63;9392.4;9446.39;9362.99;-0.33%
12.07.2006;9394.87;9404.43;9507.37;9394.02;0.25%
13.07.2006;8986.94;9378.26;9387.56;8978.6;-4.34%
14.07.2006;8986.57;9002.37;9077.49;8834.81;0.00%
17.07.2006;8849.56;9007.2;9007.2;8834.16;-1.52%
18.07.2006;8814.14;8827.95;8827.95;8691.95;-0.40%
19.07.2006;9003.77;8845.13;9003.77;8804;2.15%
20.07.2006;9148.1;9029.95;9227.19;9029.95;1.60%
21.07.2006;9036.17;9117.07;9117.07;9036.17;-1.22%
24.07.2006;9075.71;9014.1;9075.71;8998.25;0.44%
25.07.2006;9119.68;9093.28;9154.13;9093.28;0.48%
26.07.2006;9144.97;9109.46;9146.36;9109.46;0.28%
27.07.2006;9468.31;9174.52;9472.61;9174.52;3.54%
28.07.2006;9389.83;9414.1;9414.1;9321.38;-0.83%
31.07.2006;9372.74;9404.77;9459.57;9368.51;-0.18%
01.08.2006;9317.12;9354.57;9473.74;9314.95;-0.59%
02.08.2006;9475.74;9330.04;9475.74;9330.04;1.70%
03.08.2006;9604.65;9531.78;9645.21;9510.36;1.36%
04.08.2006;9820.08;9621.53;9831.95;9607.43;2.24%
07.08.2006;9774.03;9803.53;9803.53;9700.95;-0.47%
08.08.2006;9725.05;9753.45;9804.78;9706.14;-0.50%
09.08.2006;9876.97;9741.7;9878.23;9738.57;1.56%
10.08.2006;9807.84;9874.17;9874.17;9774.71;-0.70%
11.08.2006;9940.14;9797.45;9943.92;9797.45;1.35%
14.08.2006;9950.95;9986.25;10068.55;9950.64;0.11%
15.08.2006;9915.58;9986.08;9986.08;9782.23;-0.36%
16.08.2006;9985.85;9927.2;10040.64;9923.7;0.71%
17.08.2006;9921.7;9992.7;10000.22;9897.13;-0.64%
18.08.2006;9585.85;9897.66;9897.66;9585.85;-3.39%
21.08.2006;9731.34;9597.15;9769.7;9597.15;1.52%
22.08.2006;9855.15;9726.94;9855.21;9726.94;1.27%
23.08.2006;9891.6;9851.49;9909.97;9796.08;0.37%
24.08.2006;9856.52;9911.29;9911.29;9830.59;-0.35%
25.08.2006;9897.62;9868.22;9908.22;9868.22;0.42%
28.08.2006;9902.55;9891.58;9908.75;9886.22;0.05%
29.08.2006;9895.08;9892.01;10044.77;9884.84;-0.08%
30.08.2006;9931.95;9889.13;9954.92;9889.13;0.37%
31.08.2006;9780.59;9930.42;9978.82;9780.59;-1.52%
01.09.2006;9737.3;9782.8;9817.61;9723.84;-0.44%
04.09.2006;9831.19;9754.18;9831.19;9727.89;0.96%
05.09.2006;9945.2;9820.87;9946.58;9813.12;1.16%
06.09.2006;9766.44;9908.48;9910.1;9766.44;-1.80%
