TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
15.09.2011;10330,68;10204,52;10530,01;10204,52;18314037084,6207;;;2;4062491133273,21;RUB;999999,999999
14.09.2011;10204,52;10154,75;10317,34;10071,47;10651880796,9091;;;2;4012880109747,7;RUB;999999,999999
13.09.2011;10154,75;10140,66;10283,1;10016,38;15476504104,0052;;;2;3993305292252,11;RUB;999999,999999
12.09.2011;10140,66;10289,02;10294,64;9969,13;12257478804,9375;;;2;3987764785881,86;RUB;999999,999999
09.09.2011;10289,02;10551,05;10564,55;10267,22;10619792831,435;;;2;4046109765167,88;RUB;999999,999999
08.09.2011;10551,05;10482,91;10568,4;10399,7;11580391861,2728;;;2;4149150702453,29;RUB;999999,999999
07.09.2011;10482,91;10151,67;10515,14;10151,67;11818576071,9598;;;2;4122352767788,59;RUB;999999,999999
06.09.2011;10151,67;10087,23;10214,72;10025,93;14020007778,0137;;;2;3992095075036,1;RUB;999999,999999
05.09.2011;10087,23;10258,1;10288,53;10054,4;11515859851,9144;;;2;3966755229026,84;RUB;999999,999999
02.09.2011;10258,1;10546,34;10546,34;10226,04;10397946218,5034;;;2;4033949247729,75;RUB;999999,999999
01.09.2011;10546,34;10506,37;10546,34;10282,29;13248714728,1042;;;2;4147297708856,5;RUB;999999,999999
31.08.2011;10506,37;10319,9;10557,26;10312,7;11734576160,2908;;;2;4131580783570,78;RUB;999999,999999
30.08.2011;10319,9;10309,96;10400,17;10234,44;13661644154,6077;;;2;4058250682041,47;RUB;999999,999999
29.08.2011;10309,96;9914,16;10314,3;9907,66;9199260466,3618;;;2;4054340744523,49;RUB;999999,999999
26.08.2011;9914,16;9780;9917,39;9693,82;13312153011,5089;;;2;3898696101327,76;RUB;999999,999999
25.08.2011;9780;9877,92;10027,06;9771,59;14597629649,4696;;;2;3845937436956,65;RUB;999999,999999
24.08.2011;9877,92;9721,72;9929,17;9635,55;11182080977,723;;;2;3884443650930,47;RUB;999999,999999
