Date,ALRS.ME,CHMF.ME,FIVE.ME,GAZP.ME,GMKN.ME,LKOH.ME,MGNT.ME,MTSS.ME,NVTK.ME,ROSN.ME,SBER.ME,SNGS.ME,TATN.ME,VTBR.ME,YNDX.ME
2018-06-04,90.5,1013.2999877929688,1771.0,146.44000244140625,11474.0,4299.0,5187.0,285.95001220703125,841.0,384.8999938964844,220.0,29.274999618530273,670.4500122070312,0.047029998153448105,2163.5
2018-06-05,89.98999786376953,1024.5999755859375,1762.5,145.75,11526.0,4258.0,5222.0,286.1000061035156,847.0999755859375,380.04998779296875,214.72999572753906,28.93000030517578,669.4000244140625,0.047200001776218414,2230.0
2018-06-06,89.55999755859375,1031.0,1758.5,146.89999389648438,11640.0,4264.5,4937.0,285.20001220703125,844.4000244140625,380.79998779296875,217.89999389648438,28.795000076293945,668.5,0.04724999889731407,2214.0
2018-06-07,91.5,1033.300048828125,1743.5,146.0500030517578,11644.0,4250.0,5030.0,286.04998779296875,848.0,380.04998779296875,216.41000366210938,29.295000076293945,668.0,0.046810001134872437,2175.0
2018-06-08,91.5,1016.2000122070312,1675.5,143.57000732421875,11375.0,4165.0,4805.0,283.5,824.0,381.5,211.1300048828125,28.40999984741211,655.5499877929688,0.045419998466968536,2142.0
2018-06-11,91.0,1041.800048828125,1675.5,142.27999877929688,11500.0,4159.5,4750.0,283.70001220703125,828.2000122070312,384.54998779296875,210.35000610351562,28.684999465942383,653.0,0.04513999819755554,2192.5
2018-06-13,90.19999694824219,1040.5,1650.5,141.0,11275.0,4140.0,4702.0,282.75,824.0,382.0,215.0,28.895000457763672,655.0,0.04475000128149986,2290.5
2018-06-14,89.19999694824219,1025.9000244140625,1645.5,139.39999389648438,11161.0,4090.0,4690.0,281.8500061035156,813.7999877929688,381.70001220703125,214.0,29.049999237060547,642.0499877929688,0.04464999958872795,2292.0
2018-06-15,89.0999984741211,1039.4000244140625,1627.5,137.72999572753906,11066.0,4055.0,4710.0,282.8500061035156,804.0,383.25,209.36000061035156,28.260000228881836,650.0,0.044509999454021454,2268.0
2018-06-18,89.69999694824219,964.5999755859375,1645.0,136.52000427246094,11051.0,4045.5,4631.0,277.5,799.5,387.0,206.3000030517578,28.375,641.0,0.04611000046133995,2287.0
2018-06-19,91.0,958.7999877929688,1682.0,135.5,11126.0,4091.0,4592.0,276.54998779296875,805.0,392.3500061035156,206.0,28.709999084472656,646.0499877929688,0.0451899990439415,2295.0
2018-06-20,94.0999984741211,960.0,1730.0,136.91000366210938,11243.0,4132.0,4646.0,277.1000061035156,847.0,390.20001220703125,212.1999969482422,29.295000076293945,655.0,0.047200001776218414,2301.5
2018-06-21,98.0,960.5,1770.0,134.39999389648438,11224.0,4135.0,4599.0,272.8999938964844,832.2999877929688,392.75,210.39999389648438,28.850000381469727,661.4500122070312,0.046959999948740005,2270.5
2018-06-22,98.41000366210938,966.7000122070312,1745.0,137.2100067138672,11274.0,4163.0,4597.0,263.79998779296875,835.5,391.45001220703125,214.47999572753906,28.399999618530273,660.6500244140625,0.046890001744031906,2217.0
2018-06-25,100.0999984741211,944.0,1766.5,137.10000610351562,11285.0,4140.0,4550.0,264.95001220703125,829.0999755859375,393.95001220703125,202.50999450683594,28.299999237060547,672.6500244140625,0.04670000076293945,2177.0
2018-06-26,98.7300033569336,942.4000244140625,1743.0,138.07000732421875,11222.0,4154.0,4615.0,262.0,833.2999877929688,389.29998779296875,199.91000366210938,28.389999389648438,660.4500122070312,0.04690000042319298,2185.0
2018-06-27,98.19999694824219,925.2999877929688,1690.0,139.0,11100.0,4222.0,4609.0,266.70001220703125,840.9000244140625,394.6000061035156,207.9499969482422,28.389999389648438,674.1500244140625,0.04735000059008598,2227.5
2018-06-28,98.7300033569336,910.4000244140625,1675.0,138.4600067138672,11119.0,4227.0,4612.0,268.95001220703125,848.2000122070312,395.20001220703125,208.75,28.229999542236328,656.25,0.04778999835252762,2193.5
2018-06-29,100.0,930.0999755859375,1727.0,141.00999450683594,11399.0,4350.0,4600.0,278.1000061035156,852.7999877929688,396.1499938964844,218.0,28.479999542236328,675.9500122070312,0.048009999096393585,2244.0
2018-07-02,102.2300033569336,931.2999877929688,1673.0,143.8000030517578,11582.0,4361.0,4628.0,283.3500061035156,879.0,396.0,220.86000061035156,28.520000457763672,672.7000122070312,0.048239998519420624,2253.5
2018-07-03,102.58999633789062,930.5999755859375,1624.0,142.24000549316406,11540.0,4331.0,4631.0,281.8500061035156,875.0999755859375,389.1499938964844,217.75,28.184999465942383,676.0,0.048500001430511475,2254.0
2018-07-04,105.19000244140625,930.9000244140625,1645.5,142.24000549316406,11458.0,4334.5,4630.0,284.0,874.7000122070312,393.25,217.6999969482422,28.084999084472656,684.1500244140625,0.0485600009560585,2236.0
2018-07-05,107.69999694824219,942.2999877929688,1700.0,145.5500030517578,11566.0,4462.0,4528.0,288.0,903.7000122070312,406.04998779296875,224.5399932861328,28.420000076293945,686.0,0.048659998923540115,2226.0
2018-07-06,105.30000305175781,941.9000244140625,1685.0,144.9600067138672,11698.0,4415.5,4550.0,276.95001220703125,907.2000122070312,403.3999938964844,226.7100067138672,28.469999313354492,678.75,0.048500001430511475,2315.0
2018-07-09,105.83000183105469,967.9000244140625,1754.0,148.07000732421875,11797.0,4454.0,4524.0,278.1499938964844,909.0,408.95001220703125,230.75,28.9950008392334,689.0,0.049309998750686646,2320.5
2018-07-10,106.19999694824219,966.2999877929688,1771.5,146.60000610351562,11683.0,4358.5,4478.0,275.1000061035156,904.2999877929688,413.6499938964844,230.52000427246094,29.100000381469727,694.8499755859375,0.04895000159740448,2311.5
